"chrom","LociID","nLoci","maxP"
"1",1,117,2.96683448521755
"1",2,35,3.04541193603316
"1",3,74,2.48992620636719
"1",4,136,2.28458932177835
"1",5,74,2.75481961586495
"1",6,121,3.14721907798915
"1",7,179,3.79017412044576
"1",8,141,2.33685930827591
"1",9,30,4.8133696488965
"1",10,116,3.11437754672865
"1",11,133,2.52933171401479
"1",12,98,2.31810410496798
"1",13,89,3.38090934522323
"1",14,118,2.98022630970877
"1",15,35,2.01864839310449
"1",16,45,1.63000774682256
"1",17,30,2.12888786188205
"1",18,149,2.61952147325559
"1",19,47,2.88366859238566
"1",20,64,2.15804750312194
"1",21,53,2.00864206061619
"1",22,83,1.70882769228523
"1",23,20,1.8656306319322
"1",24,73,2.59606418292893
"1",25,78,2.51282166599857
"1",26,47,1.81386926944984
"1",27,119,2.74304809632549
"1",28,174,3.06560159630592
"1",29,81,3.26064541111838
"1",30,110,2.56690978504745
"1",31,168,2.45781242125441
"1",32,124,2.4537355337284
"1",33,28,1.77428222401515
"1",34,11,1.39592104919016
"1",35,118,3.14721907798915
"1",36,93,3.12452155109767
"1",37,110,3.39199091935041
"1",38,195,2.88885206090343
"1",39,102,1.99797613354394
"1",40,87,1.99797613354394
"1",41,74,3.17776163515654
"1",42,88,3.1529325987638
"1",43,120,2.28559446324042
"1",44,111,2.82945264330794
"1",45,1,1.48526429912313
"1",46,10,1.2291663910563
"1",47,201,3.39029797645747
"1",48,29,2.68065238600903
"1",49,127,3.27312085522541
"1",50,193,3.68388743065542
"10",230,82,2.53594487629664
"10",231,204,3.98387883700197
"10",232,112,2.79283101111451
"10",233,175,1.79357812476373
"10",234,181,4.24698319504517
"10",235,81,3.01968909312257
"10",236,70,2.96884289328091
"10",237,104,2.34983083634005
"10",238,29,2.26417427261368
"10",239,206,3.09474665209628
"10",240,131,2.15886647317022
"10",241,80,2.37177157433287
"11",242,161,3.28326732522443
"11",243,127,3.05193784337791
"11",244,59,2.21899145474095
"11",245,66,2.120042468143
"11",246,58,2.27811792117766
"11",247,220,3.73109979277248
"11",248,124,3.35076613136479
"11",249,92,2.42578578806811
"11",250,64,4.91130766168814
"11",251,40,1.86515586483922
"11",252,298,3.28326732522443
"11",253,83,2.53475574270782
"11",254,50,1.89503352798622
"11",255,129,2.10602081234356
"11",256,67,2.28862542564114
"11",257,154,2.64134339916715
"11",258,95,2.56716758954573
"11",259,119,2.56716758954573
"11",260,74,1.73956836908205
"11",261,184,2.77127446418793
"11",262,168,6.58665250749055
"11",263,161,3.11281602888634
"12",264,243,3.17324972526871
"12",265,30,2.24921555134221
"12",266,154,2.8582440459984
"12",267,140,2.94269434313259
"12",268,102,3.58873161828635
"12",269,74,2.35131547694001
"12",270,77,2.98334845746901
"12",271,104,2.49525749957271
"12",272,132,2.18436209211167
"12",273,30,2.73064007616618
"12",274,12,1.32278801510842
"12",275,62,1.83196007986169
"12",276,180,2.59606423611282
"12",277,42,1.85814465642154
"12",278,42,1.85814465642154
"12",279,39,2.55373001070642
"12",280,156,2.92141933970978
"12",281,71,2.43561977990058
"12",282,44,2.13261884927257
"12",283,97,2.57948207027291
"12",284,72,2.08365950925185
"12",285,76,5.92094688972549
"12",286,268,2.75063655871615
"12",287,136,2.80244552046613
"13",288,108,2.38694876375958
"13",289,95,2.37681854756199
"13",290,114,1.93502328418192
"13",291,31,1.85138130620524
"13",292,120,3.11994537153059
"13",293,35,1.83586434576143
"13",294,106,2.67145771952254
"14",295,125,2.28546865032507
"14",296,138,4.67269664577251
"14",297,204,2.8368263957489
"14",298,66,3.05264990832313
"14",299,29,1.58752919960814
"14",300,47,2.01883967325885
"14",301,123,2.55799021668328
"14",302,171,2.42596568733362
"14",303,61,2.89339269261138
"14",304,181,3.10256222931146
"15",305,118,2.62367053590423
"15",306,60,1.75490974087207
"15",307,25,2.06122228739452
"15",308,46,2.46153799578236
"15",309,38,3.24855544901664
"15",310,143,2.24727105036218
"15",311,67,1.75982905214514
"15",312,239,4.61395768494869
"15",313,36,1.67575706524001
"15",314,321,3.84176238552031
